id,Vulnerability Title,date_reported,severity,description,code,file location
CVE-2018-7489,Exec Code Bypass,2018-02-26,High,"FasterXML jackson-databind before 2.7.9.3, 2.8.x before 2.8.11.1 and 2.9.x before 2.9.5 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the c3p0 libraries are available in the classpath.",70,"sample_project/api/folder2/file0.c, line46"
CVE-2018-7187,Exec Code,2018-02-16,Extreme,"The ""go get"" implementation in Go 1.9.4, when the -insecure command-line option is used, does not validate the import path (get/vcs.go only checks for ""://"" anywhere in the string), which allows remote attackers to execute arbitrary OS commands via a crafted web site.",68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-6913,Exec Code Overflow,2018-04-17,High,Heap-based buffer overflow in the pack function in Perl before 5.26.2 allows context-dependent attackers to execute arbitrary code via a large item count.,75,"sample_project/src/folder1/file3.js, line95"
CVE-2018-6791,Exec Code,2018-02-07,High,"An issue was discovered in soliduiserver/deviceserviceaction.cpp in KDE Plasma Workspace before 5.12.0. When a vfat thumbdrive that contains `` or $() in its volume label is plugged in and mounted through the device notifier, it's interpreted as a shell command, leading to a possibility of arbitrary command execution. An example of an offending volume label is ""$(touch b)"" -- this will create a file called b in the home folder.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-6789,Exec Code Overflow,2018-02-08,High,"An issue was discovered in the base64d function in the SMTP listener in Exim before 4.90.1. By sending a handcrafted message, a buffer overflow may happen. This can be used to execute code remotely.",75,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-6764,Exec Code Bypass,2018-02-23,Medium,"util/virlog.c in libvirt does not properly determine the hostname on LXC container startup, which allows local guest OS users to bypass an intended container protection mechanism and execute arbitrary commands via a crafted NSS module.",70,"sample_project/api/folder2/file0.c, line46"
CVE-2018-6574,Exec Code,2018-02-07,Medium,"Go before 1.8.7, Go 1.9.x before 1.9.4, and Go 1.10 pre-releases before Go 1.10rc2 allow ""go get"" remote command execution during source code build, by leveraging the gcc or clang plugin feature, because -fplugin= and -plugin= arguments were not blocked.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-6360,Exec Code,2018-01-28,Medium,"mpv through 0.28.0 allows remote attackers to execute arbitrary code via a crafted web site, because it reads HTML documents containing VIDEO elements, and accepts arbitrary URLs in a src attribute without a protocol whitelist in player/lua/ytdl_hook.lua. For example, an av://lavfi:ladspa=file= URL signifies that the product should call dlopen on a shared object file located at an arbitrary local pathname. The issue exists because the product does not consider that youtube-dl can provide a potentially unsafe URL.",68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-6307,Exec Code,2018-12-19,Medium,LibVNC before commit ca2a5ac02fbbadd0a21fabba779c1ea69173d10b contains heap use-after-free vulnerability in server code of file transfer extension that can result remote code execution.,68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-6101,Exec Code,2018-12-04,Medium,"A lack of host validation in DevTools in Google Chrome prior to 66.0.3359.117 allowed a remote attacker to execute arbitrary code via a crafted HTML page, if the user is running a remote DevTools debugging server.",68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-6092,Exec Code Overflow,2018-12-04,Medium,An integer overflow on 32-bit systems in WebAssembly in Google Chrome prior to 66.0.3359.117 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page.,75,"sample_project/src/folder1/file3.js, line95"
CVE-2018-6090,Exec Code Overflow,2018-12-04,Medium,An integer overflow that lead to a heap buffer-overflow in Skia in Google Chrome prior to 66.0.3359.117 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page.,75,"sample_project/src/folder1/file3.js, line95"
CVE-2018-6088,Exec Code,2018-12-04,Medium,An iterator-invalidation bug in PDFium in Google Chrome prior to 66.0.3359.117 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted PDF file.,68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-6087,Exec Code,2018-12-04,Medium,A use-after-free in WebAssembly in Google Chrome prior to 66.0.3359.117 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page.,68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-6086,Exec Code,2018-12-04,Medium,A double-eviction in the Incognito mode cache that lead to a user-after-free in Networking Disk Cache in Google Chrome prior to 66.0.3359.117 allowed a remote attacker to execute arbitrary code via a crafted HTML page.,68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-6085,Exec Code,2018-12-04,Medium,Re-entry of a destructor in Networking Disk Cache in Google Chrome prior to 66.0.3359.117 allowed a remote attacker to execute arbitrary code via a crafted HTML page.,68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-5996,DoS Exec Code Overflow Mem. Corr.,2018-01-31,Medium,"Insufficient exception handling in the method NCompress::NRar3::CDecoder::Code of 7-Zip before 18.00 and p7zip can lead to multiple memory corruptions within the PPMd code, allows remote attackers to cause a denial of service (segmentation fault) or execute arbitrary code via a crafted RAR archive.",65,"sample_project/src/folder1/file3.js, line95"
CVE-2018-5968,Exec Code Bypass,2018-01-22,Medium,FasterXML jackson-databind through 2.8.11 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 and CVE-2017-17485 deserialization flaws. This is exploitable via two different gadgets that bypass a blacklist.,70,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-5808,Exec Code Overflow,2018-12-07,Medium,"An error within the ""find_green()"" function (internal/dcraw_common.cpp) in LibRaw versions prior to 0.18.9 can be exploited to cause a stack-based buffer overflow and subsequently execute arbitrary code.",75,"sample_project/src/folder1/file3.js, line95"
CVE-2018-5704,Exec Code XSS,2018-01-16,Extreme,"Open On-Chip Debugger (OpenOCD) 0.10.0 does not block attempts to use HTTP POST for sending data to 127.0.0.1 port 4444, which allows remote attackers to conduct cross-protocol scripting attacks, and consequently execute arbitrary commands, via a crafted web site.",78,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-5702,Exec Code,2018-01-15,Medium,"Transmission through 2.92 relies on X-Transmission-Session-Id (which is not a forbidden header for Fetch) for access control, which allows remote attackers to execute arbitrary RPC commands, and consequently write to arbitrary files, via POST requests to /transmission/rpc in conjunction with a DNS rebinding attack.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-5379,DoS Exec Code,2018-02-19,High,"The Quagga BGP daemon (bgpd) prior to version 1.2.3 can double-free memory when processing certain forms of UPDATE message, containing cluster-list and/or unknown attributes. A successful attack could cause a denial of service or potentially allow an attacker to execute arbitrary code.",63,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-5345,Exec Code Overflow,2018-01-12,Medium,"A stack-based buffer overflow within GNOME gcab through 0.7.4 can be exploited by malicious attackers to cause a crash or, potentially, execute arbitrary code via a crafted .cab file.",75,"sample_project/src/folder1/file3.js, line95"
CVE-2018-4013,Exec Code Overflow,2018-10-19,High,"An exploitable code execution vulnerability exists in the HTTP packet-parsing functionality of the LIVE555 RTSP server library version 0.92. A specially crafted packet can cause a stack-based buffer overflow, resulting in code execution. An attacker can send a packet to trigger this vulnerability.",75,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-3839,Exec Code,2018-04-10,Medium,"An exploitable code execution vulnerability exists in the XCF image rendering functionality of Simple DirectMedia Layer SDL2_image-2.0.2. A specially crafted XCF image can cause an out-of-bounds write on the heap, resulting in code execution. An attacker can display a specially crafted image to trigger this vulnerability.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-3836,Exec Code,2018-04-24,High,An exploitable command injection vulnerability exists in the gplotMakeOutput function of Leptonica 1.74.4. A specially crafted gplot rootname argument can cause a command injection resulting in arbitrary code execution. An attacker can provide a malicious path as input to an application that passes attacker data to this function to trigger this vulnerability.,68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-3710,Exec Code Dir. Trav.,2018-03-21,Medium,Gitlab Community and Enterprise Editions version 10.3.3 is vulnerable to an Insecure Temporary File in the project import component resulting remote code execution.,71,"sample_project/src/folder1/file3.js, line95"
CVE-2018-2602,DoS Exec Code,2018-01-18,Low,"Vulnerability in the Java SE, Java SE Embedded component of Oracle Java SE (subcomponent: I18n). Supported versions that are affected are Java SE: 6u171, 7u161, 8u152 and 9.0.1; Java SE Embedded: 8u151. Difficult to exploit vulnerability allows unauthenticated attacker with logon to the infrastructure where Java SE, Java SE Embedded executes to compromise Java SE, Java SE Embedded. Successful attacks require human interaction from a person other than the attacker. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Java SE, Java SE Embedded accessible data as well as unauthorized read access to a subset of Java SE, Java SE Embedded accessible data and unauthorized ability to cause a partial denial of service (partial DOS) of Java SE, Java SE Embedded. Note: This vulnerability applies to Java deployments, typically in clients running sandboxed Java Web Start applications or sandboxed Java applets, that load and run untrusted code (e.g., code that comes from the internet) and rely on the Java sandbox for security. This vulnerability does not apply to Java deployments, typically in servers, that load and run only trusted code (e.g., code installed by an administrator). CVSS 3.0 Base Score 4.5 (Confidentiality, Integrity and Availability impacts). CVSS Vector: (CVSS:3.0/AV:L/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:L).",63,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-1270,Exec Code,2018-04-06,High,"Spring Framework, versions 5.0 prior to 5.0.5 and versions 4.3 prior to 4.3.15 and older unsupported versions, allow applications to expose STOMP over WebSocket endpoints with a simple, in-memory STOMP broker through the spring-messaging module. A malicious user (or attacker) can craft a message to the broker that can lead to a remote code execution attack.",68,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-1160,Exec Code,2018-12-20,Extreme,Netatalk before 3.1.12 is vulnerable to an out of bounds write in dsi_opensess.c. This is due to lack of bounds checking on attacker controlled data. A remote unauthenticated attacker can leverage this vulnerability to achieve arbitrary code execution.,68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-1124,Exec Code Overflow,2018-05-23,Medium,"procps-ng before version 3.3.15 is vulnerable to multiple integer overflows leading to a heap corruption in file2strvec function. This allows a privilege escalation for a local attacker who can create entries in procfs by starting processes, which could result in crashes or arbitrary code execution in proc utilities run by other users.",75,"sample_project/src/folder1/file3.js, line95"
CVE-2018-1083,Exec Code Overflow,2018-03-28,High,"Zsh before version 5.4.2-test-1 is vulnerable to a buffer overflow in the shell autocomplete functionality. A local unprivileged user can create a specially crafted directory path which leads to code execution in the context of the user who tries to use autocomplete to traverse the before mentioned path. If the user affected is privileged, this leads to privilege escalation.",75,"sample_project/api/folder2/file0.c, line46"
CVE-2018-0493,Exec Code Mem. Corr.,2018-04-03,Medium,"remctld in remctl before 3.14, when an attacker is authorized to execute a command that uses the sudo option, has a use-after-free that leads to a daemon crash, memory corruption, or arbitrary command execution.",74,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-0488,DoS Exec Code,2018-02-13,High,"ARM mbed TLS before 1.3.22, before 2.1.10, and before 2.7.0, when the truncated HMAC extension and CBC are used, allows remote attackers to execute arbitrary code or cause a denial of service (heap corruption) via a crafted application packet within a TLS or DTLS session.",63,"sample_project/src/folder1/file3.js, line95"
CVE-2018-1000888,Exec Code,2018-12-28,Medium,"PEAR Archive_Tar version 1.4.3 and earlier contains a CWE-502, CWE-915 vulnerability in the Archive_Tar class. There are several file operations with `$v_header['filename']` as parameter (such as file_exists, is_file, is_dir, etc). When extract is called without a specific prefix path, we can trigger unserialization by crafting a tar file with `phar://[path_to_malicious_phar_file]` as path. Object injection can be used to trigger destruct in the loaded PHP classes, e.g. the Archive_Tar class itself. With Archive_Tar object injection, arbitrary file deletion can occur because `@unlink($this->_temp_tarname)` is called. If another class with useful gadget is loaded, it may possible to cause remote code execution that can result in files being deleted or possibly modified. This vulnerability appears to have been fixed in 1.4.4.",68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-1000637,DoS Exec Code Overflow,2018-08-20,Medium,zutils version prior to version 1.8-pre2 contains a Buffer Overflow vulnerability in zcat that can result in Potential denial of service or arbitrary code execution. This attack appear to be exploitable via the victim openning a crafted compressed file. This vulnerability appears to have been fixed in 1.8-pre2.,64,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-1000222,Exec Code,2018-08-20,Medium,Libgd version 2.2.5 contains a Double Free Vulnerability vulnerability in gdImageBmpPtr Function that can result in Remote Code Execution . This attack appear to be exploitable via Specially Crafted Jpeg Image can trigger double free. This vulnerability appears to have been fixed in after commit ac16bdf2d41724b5a65255d4c28fb0ec46bc42f5.,68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-1000199,Exec Code Overflow Mem. Corr.,2018-05-24,Medium,The Linux Kernel version 3.18 contains a dangerous feature vulnerability in modify_user_hw_breakpoint() that can result in crash and possibly memory corruption. This attack appear to be exploitable via local code execution and the ability to use ptrace. This vulnerability appears to have been fixed in git commit f67b15037a7a50c57f72e69a6d59941ad90a0f0f.,76,"sample_project/src/folder1/file3.js, line95"
CVE-2018-1000178,Exec Code,2018-05-08,High,A heap corruption of type CWE-120 exists in quassel version 0.12.4 in quasselcore in void DataStreamPeer::processMessage(const QByteArray &msg) datastreampeer.cpp line 62 that allows an attacker to execute code remotely.,68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-1000156,Exec Code,2018-04-06,Medium,"GNU Patch version 2.7.6 contains an input validation vulnerability when processing patch files, specifically the EDITOR_PROGRAM invocation (using ed) can result in code execution. This attack appear to be exploitable via a patch file processed via the patch utility. This is similar to FreeBSD's CVE-2015-1418 however although they share a common ancestry the code bases have diverged over time.",68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-1000140,Exec Code Overflow,2018-03-23,High,rsyslog librelp version 1.2.14 and earlier contains a Buffer Overflow vulnerability in the checking of x509 certificates from a peer that can result in Remote code execution. This attack appear to be exploitable a remote attacker that can connect to rsyslog and trigger a stack buffer overflow by sending a specially crafted x509 certificate.,75,"sample_project/src/folder1/file3.js, line95"
CVE-2018-1000116,Exec Code,2018-03-07,High,NET-SNMP version 5.7.2 contains a heap corruption vulnerability in the UDP protocol handler that can result in command execution.,68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-1000097,Exec Code Overflow,2018-03-13,Medium,"Sharutils sharutils (unshar command) version 4.15.2 contains a Buffer Overflow vulnerability in Affected component on the file unshar.c at line 75, function looks_like_c_code. Failure to perform checking of the buffer containing input line. that can result in Could lead to code execution. This attack appear to be exploitable via Victim have to run unshar command on a specially crafted file..",75,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-1000051,Exec Code,2018-02-09,Medium,Artifex Mupdf version 1.12.0 contains a Use After Free vulnerability in fz_keep_key_storable that can result in DOS / Possible code execution. This attack appear to be exploitable via Victim opens a specially crafted PDF.,68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-20346,Exec Code Overflow,2018-12-21,Medium,"SQLite before 3.25.3, when the FTS3 extension is enabled, encounters an integer overflow (and resultant buffer overflow) for FTS3 queries that occur after crafted changes to FTS3 shadow tables, allowing remote attackers to execute arbitrary code by leveraging the ability to run arbitrary SQL statements (such as in certain WebSQL use cases), aka Magellan.",75,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-20020,Exec Code,2018-12-19,High,LibVNC before commit 7b1ef0ffc4815cab9a96c7278394152bdc89dc4d contains heap out-of-bound write vulnerability inside structure in VNC client code that can result remote code execution,68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-20019,Exec Code,2018-12-19,High,LibVNC before commit a83439b9fbe0f03c48eb94ed05729cb016f8b72f contains multiple heap out-of-bound write vulnerabilities in VNC client code that can result remote code execution,68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-19789,Exec Code File Inclusion,2018-12-18,Medium,"An issue was discovered in Symfony 2.7.x before 2.7.50, 2.8.x before 2.8.49, 3.x before 3.4.20, 4.0.x before 4.0.15, 4.1.x before 4.1.9, and 4.2.x before 4.2.1. When using the scalar type hint `string` in a setter method (e.g. `setName(string $name)`) of a class that's the `data_class` of a form, and when a file upload is submitted to the corresponding field instead of a normal text input, then `UploadedFile::__toString()` is called which will then return and disclose the path of the uploaded file. If combined with a local file inclusion issue in certain circumstances this could escalate it to a Remote Code Execution.",73,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-19788,Exec Code,2018-12-03,Extreme,A flaw was found in PolicyKit (aka polkit) 0.115 that allows a user with a uid greater than INT_MAX to successfully execute any systemctl command.,68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-19518,Exec Code,2018-11-25,High,"University of Washington IMAP Toolkit 2007f on UNIX, as used in imap_open() in PHP and other products, launches an rsh command (by means of the imap_rimap function in c-client/imap4r1.c and the tcp_aopen function in osdep/unix/tcp_unix.c) without preventing argument injection, which might allow remote attackers to execute arbitrary OS commands if the IMAP server name is untrusted input (e.g., entered by a user of a web application) and if rsh has been replaced by a program with different argument semantics. For example, if rsh is a link to ssh (as seen on Debian and Ubuntu systems), then the attack can use an IMAP server name containing a ""-oProxyCommand"" argument.",68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-19274,Exec Code,2018-11-17,Medium,Passing an absolute path to a file_exists check in phpBB before 3.2.4 allows Remote Code Execution through Object Injection by employing Phar deserialization when an attacker has access to the Admin Control Panel with founder permissions.,68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-19134,Exec Code,2018-12-20,Medium,"In Artifex Ghostscript through 9.25, the setpattern operator did not properly validate certain types. A specially crafted PostScript document could exploit this to crash Ghostscript or, possibly, execute arbitrary code in the context of the Ghostscript process. This is a type confusion issue because of failure to check whether the Implementation of a pattern dictionary was a structure type.",68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-18820,DoS Exec Code Overflow,2018-11-05,Medium,"A buffer overflow was discovered in the URL-authentication backend of the Icecast before 2.4.4. If the backend is enabled, then any malicious HTTP client can send a request for that specific resource including a crafted header, leading to denial of service and potentially remote code execution.",64,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-18342,Exec Code,2018-12-11,Medium,Execution of user supplied Javascript during object deserialization can update object length leading to an out of bounds write in V8 in Google Chrome prior to 71.0.3578.80 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page.,68,"sample_project/api/folder4/file4.cpp, line13"
CVE-2018-17480,Exec Code,2018-12-11,Medium,Execution of user supplied Javascript during array deserialization leading to an out of bounds write in V8 in Google Chrome prior to 71.0.3578.80 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page.,68,"sample_project/drive/folder4/file1.cpp, line17"
CVE-2018-17463,Exec Code,2018-11-14,Medium,Incorrect side effect annotation in V8 in Google Chrome prior to 70.0.3538.64 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page.,68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-17456,Exec Code,2018-10-06,High,"Git before 2.14.5, 2.15.x before 2.15.3, 2.16.x before 2.16.5, 2.17.x before 2.17.2, 2.18.x before 2.18.1, and 2.19.x before 2.19.1 allows remote code execution during processing of a recursive ""git clone"" of a superproject if a .gitmodules file has a URL field beginning with a '-' character.",68,"sample_project/api/folder2/file0.c, line46"
CVE-2018-17407,Exec Code Overflow,2018-09-23,Medium,"An issue was discovered in t1_check_unusual_charstring functions in writet1.c files in TeX Live before 2018-09-21. A buffer overflow in the handling of Type 1 fonts allows arbitrary code execution when a malicious font is loaded by one of the vulnerable tools: pdflatex, pdftex, dvips, or luatex.",75,"sample_project/src/folder2/file2.cpp, line37"
CVE-2018-17141,Exec Code,2018-09-21,High,"HylaFAX 6.0.6 and HylaFAX+ 5.6.0 allow remote attackers to execute arbitrary code via a dial-in session that provides a FAX page with the JPEG bit enabled, which is mishandled in FaxModem::writeECMData() in the faxd/CopyQuality.c++ file.",68,"sample_project/src/folder1/file3.js, line95"
CVE-2018-16874,Exec Code Dir. Trav.,2018-12-14,Medium,"In Go before 1.10.6 and 1.11.x before 1.11.3, the ""go get"" command is vulnerable to directory traversal when executed with the import path of a malicious Go package which contains curly braces (both '{' and '}' characters). Specifically, it is only vulnerable in GOPATH mode, but not in module mode (the distinction is documented at https://golang.org/cmd/go/#hdr-Module_aware_go_get). The attacker can cause an arbitrary filesystem write, which can lead to code execution.",71,"sample_project/api/folder4/file4.cpp, line13"
